id,content,gold_label,human_check_label
51078164_1,我是***，今年16岁，现在就读于****。我喜欢文科，喜欢语文，我认为我们学校挺不错的，每个老师都很好，都很优秀。我喜欢很多课外活动由其是唱歌。我的梦想很平凡，希望简单平凡的生活下去。我很爱我的妈妈与弟弟，希望我们都能健康快乐，我不是很高，也不是很矮。我没有戴眼镜，我喜欢长头发。我有一个脾气好的同桌，我有很多的奇思妙想。迷茫，苦恼，不安，但又期待未来的生活，不想考试，接受不了自己，自卑，敏感......,2,1
51077256_1,答:我是***。身180cm，体重120。我非常喜欢学习。我的爱好是读古诗和变魔术。我喜欢跑步、打羽球和乒乓球。我也十分喜欢交朋友。开心，充实，激励，乐观，向上。,2,0
51058088_1,我是***，来自成都武侯外国语学校、我的兴趣爱好的是打篮球，听歌，我的学习成绩很一般。我的身高样貌也并不出众，在所有科木中，我最喜欢数学物理，将题做出的感觉令我很开心，在平时生活中，我是个热情的人但又时常不想讲话心情失落。迷茫，低落，忽高勿低，积极。,0,1
51134124_1,我是一名中国人，我是一名高中生。我是父母的孩子，我是祖国的希望。我是未未的栋梁，我爱书法，我爱太极，我爱番茄，我爱天妇罗。我爱成都，我爱中国。我是坚定的唯物主义者。我是社会主义的奋进者。疲惫麻木、迷茫、乏味、困顿。,2,1
51060013_1,我是高二的女学生，我是个普通的学生。长得还行，性格在平时与同学相处还是挺好的，我相对下有较稳定的情绪。家庭状况良好。有父母还有妹妹一起住，平时学习还算认真，虽然喜欢摸鱼。最喜欢数学、英话学起来困难。压抑、浮躁、平淡、焦虑、烦躁。,1,0
51073260_1,我是****学校7.5班的学生。我是一个女生。我喜欢唱歌。我是一个普通人。我是我妈的好女儿。我是***的朋友。我学习不是很好。我是一个成都人，我性格开朗。我是一个中国人。一般，平常，没有变化，学习一样，没有过大的情绪起伏，和往常一样。,1,0
51071525_1,我叫王乐乐，是一个女生、我有许多爱好，例如画画，排球，钢琴。我的成绩不算好，数学还不错，但是语文与英语却总是让我抓不着头脑，虽然希望学好，但却怎么样都是在原地。挺开心的，但也因为舅舅带来的压力，与外婆让我有些疲倦，不知所措，也因为成绩不好不好意思去提与爸多见面。,0,2
51058667_1,我现在是一名高中生。我喜欢运动、小提琴以及绘画等等。我身高170左右，长得很像顶级Alpha。我手指超级细长，大家都说我的手他们第一次见这么纤细的，我自认为性格幽默。喜欢美好的事物。我大学的目标是牛津大学，学习经济学。虽然说确实不容易，但我绝对可以做到，就是很自信。反正总结一下，我是170左右四肢纤细略有马甲线美貌与实力并存的天菜!!!(有点过于自信，但不错)浪漫主义，很想睡觉，恳虑未来，有斗志，对部分学科较疑惑，非常想放松一下，想要购物。,2,0
51072821_1,我是一名****学校年级二十三班的一名学生，我是刘喜伟，今年13岁了。我热爱运动，上课激积回答老师的问题，是一个阳光开朗自信的学生。我成绩还过得去。阳光、开朗、积极、努力、上进。热爱运动。,1,0
51063200_1,24届**高中美术生，高中班级班长，担任校国旗护卫队旗手兼班长，本人乐于助人时常帮助同学解决难题。积极向上，阳光开朗，从不在意他人对我的眼光与评价。尊重师长，尊守校规。休息时喜欢看爽文，刷视频。喜欢小动物及可爱的东西，同时心中对军旅生法充满极大的向往。矛盾、烦躁、无语、复杂、摆烂。,1,0
51071600_1,我是一名中学生，一名生活中有苦有乐的中学生。在生中我经常与朋友交往。我目前有三位朋友，他们对我都很不错。虽然每天晚睡早起，但是中午有午休，这让我感到庆幸。不知何时，我脸上的痘时渐增多，被我妈说成是麻子脸。这让我有点不开心。在学校，在老师的眼中，我是他们眼中的一般人。顺便一说，我脸上的痣无也怪多的。开心，忐忑，焦躁不安，喜出望外，无学习动力。,1,0
51074485_1,我是一个阳光开朗的人，我喜欢打篮球，我喜欢刷短视频，我喜欢玩游戏，我非常普通，我喜欢戴耳机听歌，我喜欢旅游，喜欢看小说，我是男生，不喜欢拍照。开心，迷茫，累，兴奋。,1,0
51058876_1,《我的自画像》画中人以一头黑直短发，麦色皮肤，黑框眼镜，平凡模样是我的外貌。画中人时而上进，不惧任何困难，时而胆小如鼠，被小小挫折击跨。画中人很向往飞迅发展之时代，也很忙碌地跟在时代后面进步成长。这是我的性格所向。我只是一个平凡的人，但我有美满的家庭和友谊。有必须努力的原因，也有个人的追求，不甘平凡是我的志向。画的我真实也不真，憧憬心中宁静也希望热烈去爱，是我的灵魂。焦虑，无措，忙碌，自责，担忧。,2,1
51074509_1,我是***，我来自8年级13班，我是一个很外向的女孩。我是一个很阳光、开朗、美丽、大方、善良、温柔的女孩。我在空闲时间最喜欢听英文歌曲、画画以及看窗外大树、阳光。我最擅长的学科是英语，我也很喜以其学科，我喜欢唱歌、跳舞、画画、吃美食，我很有耐心，会很热情地在同学需要帮力时，尽自己最大们可能去帮助他人，我喜生活中一切，尽管上初中压力很大，但每天与同学们老师们度过的时光也让我很快乐，我很期待明天，也期特午后的阳光。我是一个聪明，积极乐观开朗的小孩。充实；快乐；期待；疲惫；积极；乐观；幸福,1,0
51058040_1,我的名字是***，我是一名高一学生。性格较为开朗活泼，但是，我有时社牛又有时会社恐，我的兴趣爱好不多，闲下来喜欢追追剧，听听音乐，刷会短视频等，当然，我最乐于做的事情，还是品尝美食我是一个身高165，体重48kg的人，是一个学习绩不咋的的人，一个普普通通的人。矛盾、压力大、开心、消极、释然。,1,0
51076108_1,我的自画像，我是名初二生。十四岁、我喜欢画勇，唱歌和动漫。讨厌体育。我喜欢吃甜食。我性格较外向。但我其实并不喜欢交友。因为我认为交友是一件很辛苦的事，如果个和一群人不能长久相处，我会选择远离人群。我喜欢虚拟世界的人物。因为我喜欢他们的性格。我没有恋爱和早恋的想法.他们对我来说很无聊。疲惫，无趣烦躁，紧张，焦急。,1,2
51074544_1,答：我是一个开朗的人。比较阳光比较自信。偶尔会因为一些烦锁的事面而影响心情。同时我还是一个处在忧虑中的人。常会的胡思乱想，我是个看上去普普通通颜值不高，能力一般的人。迷茫、忧虑。,2,1
51076340_1,我是一位中学生。我热爱英语，语文。我是英语课代。我热爱艺术。我有上进心。我在很努力的提高自己的理科。我长得很普通。我的朋友很多。我有很多看不顺眼的人。的身体普通。疲惫，清晰不稳定，焦虑，心情不错，回家感到轻松。,0,1
51073272_1,我叫***，今年12岁了好吧，是一个时而乐观的女生，我的脾气貌似有点儿遗传我妈，有点古怪，我以前很热爱舞蹈，可惜现在的舞蹈基础不好了，导致现在没有以前那么喜欢了，现在没有什么远大目标，我只想做好自己，做一个没有什么烦恼而且又乐观的女生，可能是因为父母太唠叨了吧，有点烦，但是也不计厌(毕竟是我父母)，导致我觉得学校里也算得上我喜欢的地方了吧。有好朋友，同学，真的就比较快乐。我觉得我有一个小小的缺点，就是说的话好像不容易让别人理解。有的时候还是挺胆小，真的就有点希望找一个可以倾诉守如瓶的好友，以及可以给予一个安全感的人好吧。快乐、寂寞、无聊、喜欢发呆、想找人聊天。,1,0
